time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
2022-09-29,BWPT.JK,1894751000.0,3119447000.0,738098000.0,161114000.0,12087873000.0,10061970000.0,1996181000.0,95970000.0,262852000,-7209000.0,-80551000.0,161114000.0,157132000,1119313000,174210000.0,122210000,856461000,130415000,,131960000
2022-06-29,BWPT.JK,1998575000.0,3121953000.0,726848000.0,152909000.0,12127108000.0,10266975000.0,1829175000.0,162705000.0,229310000,12465000.0,-115711000.0,152909000.0,140377000,1575318000,29439000.0,135284000,1346008000,144293000,,146329000
2022-03-30,BWPT.JK,1874619000.0,2990435000.0,785595000.0,93465000.0,12014676000.0,10186724000.0,1799735000.0,11785000.0,232283000,-22470000.0,575000.0,93465000.0,159591000,744498000,-217677000.0,143984000,512215000,-63457000,-6.9,159037000
2022-06-29,CBUT.JK,2025287000.0,1991623000.0,1043372000.0,131383000.0,2451812000.0,2293824000.0,157988000.0,139095000.0,269630000,-1849000.0,28231000.0,317115000.0,14703000,1405754000,-3085000.0,20118000,1136124000,-844000,,-844000
2022-03-30,CBUT.JK,,,,,,,,,652511000,,,,101357000,3303347000,62718000.0,18566000,2650836000,99161000,20.07,99201000
2023-03-30,DSNG.JK,3141392000.0,3120412000.0,1621084000.0,331100000.0,15476271000.0,7101092000.0,8248191000.0,432511000.0,523219000,-421006000.0,-66411000.0,256215000.0,327976000,2066374000,213765000.0,106380000,1543155000,393488000,20.17,393478000
2022-09-29,DSNG.JK,2935322000.0,2824965000.0,1532580000.0,345488000.0,14650042000.0,6938939000.0,7581452000.0,677015000.0,954779000,-342626000.0,-209653000.0,307113000.0,684908000,2798615000,430374000.0,94673000,1843836000,648988000,,656201000
2022-06-29,DSNG.JK,2807315000.0,2649217000.0,1556824000.0,316459000.0,14482908000.0,7202411000.0,7151078000.0,27158000.0,725230000,-258348000.0,27813000.0,182380000.0,486256000,2142536000,258069000.0,93431000,1417306000,456875000,,460892000
2022-03-30,DSNG.JK,2614651000.0,2258588000.0,1264573000.0,390390000.0,14174588000.0,6940559000.0,7105006000.0,340098000.0,461440000,-240640000.0,-133578000.0,385757000.0,375321000,1644637000,204669000.0,94443000,1183197000,369156000,19.31,374229000
2022-12-30,FAPA.JK,1808824969.0,2052811807.0,956459004.0,507768260.0,8624008935.0,4724996944.0,3711093420.0,770150011.0,395218617,-174972296.0,-392841689.0,80029069.0,334852323,1390637044,163085079.0,46251162,995418427,293082258,,293605252
2022-09-29,FAPA.JK,1762830263.0,2064923699.0,1105035868.0,305874907.0,8496384987.0,4759339164.0,3544131597.0,416458735.0,258949779,-177384625.0,-344576187.0,-122306957.0,183837647,902598586,111566446.0,47696870,643648807,200927115,,201614898
2022-06-29,FAPA.JK,1460512764.0,1692880982.0,843171548.0,129702759.0,8160827323.0,4517011367.0,3432792192.0,233491759.0,497381263,-111537123.0,-363950434.0,-16804880.0,395687325,1422976885,146122074.0,36387396,925595621,236713749,,236230954
2022-03-30,FAPA.JK,1473348047.0,1756123184.0,834263642.0,287092662.0,8155028265.0,4666063691.0,3286897160.0,475636837.0,464780313,-88370568.0,-328520426.0,225190919.0,390484336,1112421086,288370346.0,38857211,647640773,432166482,79.45,432703332
2022-12-30,GZCO.JK,456869000.0,455883000.0,210937000.0,165210000.0,2045406000.0,892864000.0,1107139000.0,230359000.0,75017000,-66730000.0,-47781000.0,165210000.0,51655000,173081000,81714000.0,10300000,98064000,102472000,,104328000
2022-09-29,GZCO.JK,161353000.0,380741000.0,102500000.0,49362000.0,1784609000.0,714939000.0,1024414000.0,37289000.0,34377000,-8891000.0,-46918000.0,49362000.0,15181000,119549000,7624000.0,10086000,85172000,23550000,,25750000
